ride_id,timestamp,pickup_zone,vehicle_type,hour,is_weekend,weather_severity,traffic_index,distance_km,ride_duration_min,demand,available_drivers,demand_supply_ratio,surge_multiplier,trip_cost
R0003618,2025-11-02 19:41:00,Central,Economy,10,0,0.192,1.644,10.635,39.083,86,39,2.2051,1.5062,38.98
R0003619,2025-02-10 20:18:00,University,Comfort,2,0,0.139,0.975,15.797,51.383,50,45,1.1111,1.0467,44.67
R0003620,2025-10-22 03:24:00,Tech Park,Economy,23,1,1.562,1.257,5.236,16.667,59,48,1.2292,1.0962,14.13
R0003621,2025-08-07 12:22:00,Tech Park,Comfort,5,0,0.46,0.915,10.743,33.561,57,53,1.0755,1.0317,26.78
R0003622,2025-03-12 05:33:00,Tech Park,Economy,7,0,1.383,1.679,9.189,33.843,73,38,1.9211,1.3868,35.48
R0003623,2025-09-04 10:38:00,South,Economy,10,0,0.32,1.732,9.863,38.795,66,36,1.8333,1.35,35.18
R0003624,2025-09-12 09:14:00,University,Economy,19,0,1.692,1.596,4.83,16.594,62,46,1.3478,1.1461,16.09
R0003625,2025-04-01 05:29:00,South,Economy,17,1,0.167,1.671,4.387,19.152,59,34,1.7353,1.3088,19.76
R0003626,2025-12-19 22:29:00,South,Economy,18,0,0.056,1.414,10.449,38.565,54,27,2.0,1.42,35.85
R0003627,2025-09-01 04:07:00,Central,Economy,5,0,0.54,0.795,12.554,38.893,62,48,1.2917,1.1225,27.61
R0003628,2025-02-25 04:47:00,Central,Economy,20,0,0.103,1.789,5.529,24.382,67,51,1.3137,1.1318,17.8
R0003629,2025-12-30 06:53:00,Tech Park,Comfort,19,0,0.961,1.962,10.859,42.291,74,42,1.7619,1.32,54.24
R0003630,2025-10-23 03:59:00,Central,Economy,11,0,2.126,1.286,15.024,50.004,60,41,1.4634,1.1946,40.56
R0003631,2025-06-26 08:00:00,Tech Park,Comfort,13,0,0.181,0.934,6.366,18.68,39,37,1.0541,1.0227,15.96
R0003632,2025-11-23 00:05:00,University,Comfort,0,1,0.337,1.015,3.521,6.866,53,49,1.0816,1.0343,7.51
R0003633,2025-04-24 23:51:00,North,Economy,18,0,0.351,1.467,3.771,14.498,51,34,1.5,1.21,13.96
R0003634,2025-03-15 09:10:00,Airport,Comfort,23,1,0.353,0.95,5.354,16.444,63,37,1.7027,1.2951,20.09
R0003635,2025-03-04 02:15:00,Tech Park,Comfort,11,0,0.5,1.171,6.078,22.129,60,50,1.2,1.084,21.51
R0003636,2025-09-14 03:50:00,Airport,Comfort,12,0,1.43,1.631,7.615,29.563,55,60,0.9167,1.0,27.46
R0003637,2025-03-14 00:01:00,Tech Park,Comfort,11,0,0.566,1.038,7.701,21.744,60,45,1.3333,1.14,19.93
R0003638,2025-03-23 09:13:00,South,Economy,1,1,0.519,1.278,6.687,27.617,44,47,0.9362,1.0,21.73
R0003639,2025-03-24 18:36:00,North,Premium,14,0,0.08,1.078,11.286,35.831,35,33,1.0606,1.0255,39.26
R0003640,2025-08-14 05:18:00,South,Economy,17,0,0.126,1.272,5.112,14.68,55,45,1.2222,1.0933,11.94
R0003641,2025-05-12 19:11:00,North,Economy,22,1,0.106,1.015,15.574,44.34,48,40,1.2,1.084,29.08
R0003642,2025-06-07 10:07:00,Central,Comfort,22,0,0.316,1.03,13.027,34.818,55,54,1.0185,1.0078,32.36
R0003643,2025-01-10 07:35:00,Central,Economy,11,0,0.735,1.396,12.513,43.677,60,43,1.3953,1.166,35.5
R0003644,2025-06-10 05:44:00,North,Economy,23,0,0.156,1.299,5.405,17.388,41,34,1.2059,1.0865,12.78
R0003645,2025-06-24 04:15:00,University,Economy,12,0,2.096,1.445,7.286,23.537,40,43,0.9302,1.0,20.67
R0003646,2025-02-16 01:04:00,Central,Economy,15,0,0.112,1.239,11.56,35.954,55,52,1.0577,1.0242,21.13
R0003647,2025-11-20 10:23:00,Central,Premium,14,0,0.65,1.091,6.959,21.557,62,54,1.1481,1.0622,28.11
R0003648,2025-12-16 17:03:00,Central,Economy,23,1,3.0,1.741,5.288,21.435,71,54,1.3148,1.1322,16.95
R0003649,2025-06-20 05:02:00,North,Economy,17,0,0.562,1.669,5.173,15.826,62,43,1.4419,1.1856,16.12
R0003650,2025-01-11 01:45:00,Central,Comfort,2,0,0.728,1.329,5.313,16.039,47,51,0.9216,1.0,15.62
R0003651,2025-07-05 21:42:00,Tech Park,Comfort,1,1,0.654,1.334,4.102,15.582,65,45,1.4444,1.1867,18.09
R0003652,2025-01-29 00:13:00,Airport,Comfort,9,0,0.164,1.708,37.664,125.0,68,39,1.7436,1.3123,145.84
R0003653,2025-07-28 14:57:00,Tech Park,Economy,12,0,0.509,0.958,2.654,10.384,60,49,1.2245,1.0943,8.3
R0003654,2025-03-25 00:05:00,Central,Comfort,16,0,0.387,0.994,4.529,13.517,54,43,1.2558,1.1074,13.58
R0003655,2025-12-22 20:13:00,North,Economy,11,0,1.347,1.378,10.781,39.694,39,46,0.8478,1.0,25.21
R0003656,2025-07-04 02:34:00,Central,Comfort,12,0,2.457,1.603,5.34,20.182,60,45,1.3333,1.14,26.34
R0003657,2025-04-17 05:16:00,Tech Park,Economy,22,1,0.265,1.076,6.402,23.178,51,37,1.3784,1.1589,18.25
R0003658,2025-08-20 13:21:00,University,Economy,8,1,2.059,1.864,9.654,37.729,63,34,1.8529,1.3582,43.33
R0003659,2025-12-17 03:52:00,Central,Economy,11,0,0.174,1.066,13.705,43.284,53,62,0.8548,1.0,27.25
R0003660,2025-03-21 21:04:00,University,Economy,13,0,0.83,1.099,6.683,19.791,37,48,0.7708,1.0,15.55
R0003661,2025-10-06 11:08:00,Central,Economy,11,1,0.852,1.104,12.899,42.617,63,60,1.05,1.021,30.47
R0003662,2025-12-02 03:32:00,South,Economy,23,0,0.246,1.397,3.054,11.862,36,39,0.9231,1.0,10.34
R0003663,2025-06-11 19:16:00,Tech Park,Comfort,23,1,0.115,0.935,5.566,15.236,64,52,1.2308,1.0969,15.49
R0003664,2025-12-05 19:49:00,Central,Economy,12,0,0.26,1.138,10.198,27.629,49,51,0.9608,1.0,20.07
R0003665,2025-11-04 10:15:00,North,Economy,10,1,0.648,1.694,22.994,82.059,71,36,1.9722,1.4083,80.0
R0003666,2025-07-09 06:40:00,Airport,Economy,14,1,1.46,1.042,4.568,18.227,51,52,0.9808,1.0,16.1
R0003667,2025-12-15 18:21:00,Tech Park,Comfort,4,0,1.921,1.119,4.146,11.947,44,41,1.0732,1.0307,18.06
R0003668,2025-03-06 15:08:00,North,Economy,10,0,0.627,1.648,9.372,31.774,66,34,1.9412,1.3953,30.25
R0003669,2025-12-10 00:44:00,University,Economy,5,1,1.01,0.83,7.998,22.846,57,44,1.2955,1.1241,19.76
R0003670,2025-04-22 18:38:00,Central,Premium,3,0,1.222,1.549,5.232,21.54,64,52,1.2308,1.0969,31.57
R0003671,2025-06-14 17:54:00,University,Comfort,2,0,0.263,0.982,3.978,8.936,46,49,0.9388,1.0,10.17
R0003672,2025-04-19 19:57:00,Central,Economy,14,0,0.986,1.098,5.855,17.536,56,54,1.037,1.0156,15.27
R0003673,2025-11-28 22:31:00,South,Comfort,0,0,0.373,1.287,10.347,31.82,33,38,0.8684,1.0,28.91
R0003674,2025-04-15 21:44:00,Central,Premium,15,0,0.314,1.031,6.467,21.662,56,39,1.4359,1.1831,28.32
R0003675,2025-09-14 22:56:00,Central,Economy,10,0,0.227,1.708,14.793,52.988,60,36,1.6667,1.28,44.17
R0003676,2025-07-12 10:30:00,Airport,Economy,8,0,0.253,1.492,7.208,24.658,71,39,1.8205,1.3446,24.84
R0003677,2025-01-29 11:08:00,South,Economy,18,1,0.62,1.67,10.814,38.62,59,38,1.5526,1.2321,32.08
R0003678,2025-10-06 22:18:00,Central,Comfort,12,0,0.445,1.254,9.054,31.439,51,42,1.2143,1.09,28.09
R0003679,2025-01-14 09:07:00,South,Comfort,17,0,0.457,1.477,6.221,24.533,48,28,1.7143,1.3,29.09
R0003680,2025-03-07 19:21:00,University,Premium,17,0,0.37,1.712,12.283,46.803,60,39,1.5385,1.2262,65.89
R0003681,2025-05-26 18:27:00,Central,Comfort,0,1,0.114,0.6,3.977,12.947,68,47,1.4468,1.1877,13.07
R0003682,2025-06-09 15:26:00,Airport,Economy,5,0,0.323,1.286,5.729,22.551,40,50,0.8,1.0,19.49
R0003683,2025-08-24 08:34:00,Central,Economy,13,1,0.148,0.927,6.186,17.005,63,49,1.2857,1.12,12.86
R0003684,2025-01-23 07:32:00,Airport,Premium,23,0,0.353,1.048,9.582,30.532,49,51,0.9608,1.0,36.12
R0003685,2025-11-23 09:13:00,North,Economy,3,0,0.292,1.035,10.99,38.863,37,41,0.9024,1.0,22.87
R0003686,2025-01-18 08:39:00,Tech Park,Economy,2,1,0.82,0.972,4.961,11.729,66,40,1.65,1.273,13.86
R0003687,2025-01-14 15:31:00,Central,Comfort,22,1,1.182,1.023,4.591,13.731,71,43,1.6512,1.2735,18.03
R0003688,2025-09-27 19:31:00,Central,Economy,23,0,0.444,1.174,8.111,23.941,60,42,1.4286,1.18,21.61
R0003689,2025-04-09 15:11:00,South,Economy,4,0,1.012,1.284,3.334,12.611,37,38,0.9737,1.0,10.24
R0003690,2025-03-31 20:08:00,Central,Economy,9,0,0.158,1.419,13.522,48.693,73,39,1.8718,1.3662,41.64
R0003691,2025-09-30 20:44:00,South,Economy,15,0,3.0,1.637,6.868,26.321,50,31,1.6129,1.2574,29.02
R0003692,2025-08-09 11:03:00,University,Comfort,4,1,1.534,1.376,4.083,14.168,59,39,1.5128,1.2154,19.08
R0003693,2025-05-13 14:47:00,Central,Economy,7,1,0.162,1.511,4.038,16.167,97,35,2.7714,1.744,21.95
R0003694,2025-04-26 02:47:00,North,Economy,9,0,0.42,1.393,9.228,30.704,51,46,1.1087,1.0457,20.89
R0003695,2025-08-09 02:09:00,Tech Park,Comfort,15,0,1.182,1.206,9.092,29.884,50,53,0.9434,1.0,26.52
R0003696,2025-11-11 08:11:00,Tech Park,Economy,7,0,0.09,1.632,5.09,20.357,67,39,1.7179,1.3015,16.97
R0003697,2025-05-26 10:01:00,Tech Park,Comfort,9,0,0.58,1.644,7.296,30.508,67,43,1.5581,1.2344,33.99
R0003698,2025-06-07 03:41:00,Tech Park,Economy,6,1,0.122,0.915,4.174,14.294,62,43,1.4419,1.1856,9.7
R0003699,2025-03-17 16:21:00,South,Economy,18,0,0.296,1.687,6.739,25.458,46,41,1.122,1.0512,17.07
R0003700,2025-07-13 19:21:00,South,Economy,3,0,0.402,1.3,17.489,61.156,31,45,0.6889,1.0,38.28
R0003701,2025-01-23 01:34:00,Tech Park,Comfort,5,0,0.321,0.919,25.073,68.185,54,43,1.2558,1.1074,63.69
R0003702,2025-10-24 10:01:00,Tech Park,Premium,5,1,0.036,0.953,6.914,21.07,58,42,1.381,1.16,27.64
R0003703,2025-07-16 04:31:00,Tech Park,Economy,21,0,0.639,2.159,9.85,38.137,78,35,2.2286,1.516,48.91
R0003704,2025-04-16 13:07:00,North,Economy,22,0,2.481,1.499,9.639,33.015,55,39,1.4103,1.1723,32.41
R0003705,2025-03-09 16:51:00,Tech Park,Economy,12,0,0.502,0.862,3.014,11.218,41,58,0.7069,1.0,9.39
R0003706,2025-04-08 00:30:00,Central,Economy,3,0,2.791,1.416,4.127,17.087,52,56,0.9286,1.0,13.71
R0003707,2025-01-26 07:44:00,Central,Economy,18,0,0.013,1.416,2.174,7.427,75,39,1.9231,1.3877,10.71
R0003708,2025-12-15 06:19:00,Central,Premium,11,0,0.216,1.107,9.944,32.717,55,45,1.2222,1.0933,42.01
R0003709,2025-04-23 23:14:00,Central,Comfort,20,0,0.208,1.643,22.646,77.571,69,28,2.4643,1.615,104.98
R0003710,2025-12-04 04:17:00,Tech Park,Economy,8,0,0.682,1.558,13.96,45.792,60,50,1.2,1.084,34.66
R0003711,2025-12-05 00:25:00,Central,Economy,23,1,0.513,1.427,7.96,27.627,56,44,1.2727,1.1145,24.98
R0003712,2025-01-06 05:29:00,South,Economy,19,0,0.387,1.635,7.366,26.358,48,36,1.3333,1.14,22.43
R0003713,2025-07-24 10:40:00,North,Economy,5,0,1.193,1.133,6.399,24.059,46,36,1.2778,1.1167,21.49
R0003714,2025-10-17 07:05:00,Central,Economy,17,0,0.532,1.426,13.913,51.566,75,41,1.8293,1.3483,45.05
R0003715,2025-03-29 14:08:00,Central,Premium,6,1,1.022,1.023,8.746,25.695,58,40,1.45,1.189,34.86
R0003716,2025-12-24 09:02:00,South,Economy,8,1,2.22,1.725,8.039,25.785,73,40,1.825,1.3465,30.91
R0003717,2025-08-14 23:49:00,Tech Park,Economy,6,1,1.224,1.186,4.234,11.441,57,42,1.3571,1.15,11.67
R0003718,2025-10-14 14:17:00,North,Economy,16,0,0.152,0.868,10.811,29.803,28,37,0.7568,1.0,19.99
R0003719,2025-10-09 05:50:00,Central,Economy,6,0,3.0,1.681,7.153,26.84,63,44,1.4318,1.1814,28.3
R0003720,2025-02-21 19:08:00,Central,Premium,15,0,0.877,1.053,9.663,29.382,55,57,0.9649,1.0,34.32
R0003721,2025-11-07 06:01:00,Airport,Comfort,13,0,0.427,1.228,13.457,40.366,39,59,0.661,1.0,35.47
R0003722,2025-02-13 19:12:00,Airport,Comfort,18,0,0.119,1.66,3.161,16.368,61,53,1.1509,1.0634,15.81
R0003723,2025-12-28 12:26:00,University,Comfort,23,0,0.565,1.218,6.602,23.328,50,34,1.4706,1.1976,23.83
R0003724,2025-08-18 07:04:00,Airport,Economy,0,0,0.236,1.204,6.096,24.105,44,46,0.9565,1.0,17.96
R0003725,2025-08-14 08:43:00,Central,Comfort,23,0,0.08,1.373,5.808,16.222,50,53,0.9434,1.0,14.35
R0003726,2025-12-13 21:08:00,University,Comfort,2,0,0.135,0.871,4.203,16.028,44,46,0.9565,1.0,14.2
R0003727,2025-06-07 20:26:00,Tech Park,Economy,12,0,0.06,1.163,5.206,16.992,47,39,1.2051,1.0862,11.87
R0003728,2025-07-02 05:40:00,North,Economy,8,1,0.362,1.687,4.245,15.429,60,29,2.069,1.449,20.61
R0003729,2025-09-05 23:36:00,South,Comfort,15,0,0.469,1.276,12.228,39.881,35,52,0.6731,1.0,36.1
R0003730,2025-03-23 02:56:00,University,Premium,17,1,0.774,1.709,9.56,33.448,77,53,1.4528,1.1902,49.11
R0003731,2025-02-10 04:18:00,Airport,Economy,20,0,0.854,1.915,9.202,35.033,69,36,1.9167,1.385,36.78
R0003732,2025-12-25 05:59:00,Central,Premium,9,1,0.3,1.372,2.692,12.238,96,39,2.4615,1.6138,25.72
R0003733,2025-09-27 04:39:00,University,Premium,22,1,0.346,0.881,22.689,60.692,57,43,1.3256,1.1367,77.24
R0003734,2025-07-28 10:43:00,Tech Park,Premium,7,0,0.646,1.564,6.205,25.761,71,37,1.9189,1.3859,43.61
R0003735,2025-04-12 17:30:00,University,Economy,4,1,0.145,1.013,20.278,61.387,60,36,1.6667,1.28,46.07
R0003736,2025-10-19 08:46:00,Central,Economy,9,0,0.987,1.736,11.729,42.607,70,39,1.7949,1.3338,45.05
R0003737,2025-09-01 04:23:00,University,Comfort,12,0,0.379,0.935,6.839,23.012,40,39,1.0256,1.0108,18.91
R0003738,2025-06-07 12:28:00,Central,Economy,16,1,1.135,1.026,23.897,72.128,70,46,1.5217,1.2191,54.89
R0003739,2025-06-20 01:41:00,Tech Park,Economy,19,0,0.589,1.538,10.613,36.075,56,51,1.098,1.0412,22.43
R0003740,2025-12-12 10:34:00,University,Comfort,5,0,0.425,0.769,6.851,18.322,42,47,0.8936,1.0,16.53
R0003741,2025-04-03 08:48:00,Central,Economy,7,0,1.414,1.753,6.264,26.974,79,52,1.5192,1.2181,23.48
R0003742,2025-01-28 07:29:00,Central,Economy,22,0,0.073,1.003,13.702,38.014,45,40,1.125,1.0525,30.48
R0003743,2025-10-08 22:36:00,South,Premium,10,0,0.743,1.763,5.783,21.588,55,40,1.375,1.1575,30.93
R0003744,2025-03-24 06:36:00,Tech Park,Economy,5,0,1.918,1.375,6.308,18.701,61,34,1.7941,1.3335,20.11
R0003745,2025-11-17 06:08:00,Airport,Premium,23,0,0.614,1.433,5.594,20.856,38,41,0.9268,1.0,30.38
R0003746,2025-08-06 13:32:00,Tech Park,Economy,10,0,0.504,1.787,5.126,19.582,67,33,2.0303,1.4327,24.11
R0003747,2025-07-28 07:09:00,Central,Economy,23,0,1.159,1.341,5.302,15.664,63,37,1.7027,1.2951,13.93
R0003748,2025-03-30 13:57:00,North,Economy,22,0,0.298,1.119,20.591,61.39,35,39,0.8974,1.0,38.55
R0003749,2025-11-03 01:10:00,Central,Economy,21,0,0.398,1.718,13.52,49.058,69,48,1.4375,1.1838,40.43
R0003750,2025-10-08 17:19:00,University,Economy,13,0,0.119,0.982,8.841,27.629,42,45,0.9333,1.0,16.22
R0003751,2025-11-03 12:38:00,Central,Comfort,19,0,0.279,1.618,5.748,16.928,61,52,1.1731,1.0727,19.46
R0003752,2025-07-15 10:36:00,South,Premium,23,1,0.929,1.513,5.736,19.084,45,40,1.125,1.0525,24.41
R0003753,2025-03-30 13:37:00,Central,Economy,6,1,0.409,1.061,6.349,20.595,60,55,1.0909,1.0382,12.15
R0003754,2025-07-28 03:23:00,University,Economy,0,0,0.189,0.794,20.779,60.787,43,35,1.2286,1.096,42.86
R0003755,2025-08-11 14:52:00,Tech Park,Comfort,7,0,1.466,1.939,9.116,37.059,68,40,1.7,1.294,50.7
R0003756,2025-03-13 03:59:00,Central,Economy,15,1,1.308,1.393,11.718,38.397,77,44,1.75,1.315,41.01
R0003757,2025-12-29 12:21:00,Central,Economy,13,1,0.219,1.067,8.67,29.337,63,40,1.575,1.2415,23.8
R0003758,2025-06-01 00:36:00,North,Economy,1,0,1.299,0.896,4.773,14.225,33,46,0.7174,1.0,14.36
R0003759,2025-02-11 21:11:00,North,Economy,13,0,0.907,1.395,8.219,21.224,40,48,0.8333,1.0,15.67
R0003760,2025-10-07 00:23:00,Tech Park,Economy,4,0,0.648,1.158,4.299,17.713,43,46,0.9348,1.0,15.19
R0003761,2025-08-25 00:19:00,South,Economy,12,0,2.015,1.307,14.991,49.891,41,43,0.9535,1.0,41.84
R0003762,2025-01-23 13:43:00,North,Comfort,13,1,0.738,1.347,5.146,18.354,42,41,1.0244,1.0102,16.63
R0003763,2025-05-14 20:46:00,Tech Park,Economy,15,0,0.243,0.679,5.672,16.42,43,47,0.9149,1.0,8.72
R0003764,2025-02-06 19:25:00,North,Economy,9,0,0.368,1.636,12.149,43.969,51,37,1.3784,1.1589,35.3
R0003765,2025-05-22 14:07:00,Central,Economy,9,0,0.881,1.611,5.291,19.607,71,30,2.3667,1.574,24.88
R0003766,2025-01-20 14:37:00,Airport,Economy,16,1,1.99,1.627,6.886,24.503,65,44,1.4773,1.2005,24.3
R0003767,2025-01-23 02:31:00,Central,Comfort,17,0,0.745,1.728,1.821,6.47,84,48,1.75,1.315,12.88
R0003768,2025-10-26 11:52:00,South,Comfort,19,1,0.65,1.511,6.505,23.361,61,41,1.4878,1.2049,24.98
R0003769,2025-04-13 12:29:00,Central,Comfort,8,0,1.131,1.958,10.771,39.572,77,40,1.925,1.3885,55.27
R0003770,2025-09-25 21:35:00,South,Economy,10,0,0.982,1.284,5.504,16.277,70,36,1.9444,1.3967,17.16
R0003771,2025-11-09 01:25:00,Central,Economy,7,0,1.496,1.911,10.566,40.912,77,35,2.2,1.504,51.76
R0003772,2025-09-08 00:02:00,Tech Park,Economy,12,0,0.528,0.868,7.699,25.118,48,39,1.2308,1.0969,20.31
R0003773,2025-01-22 16:11:00,Airport,Economy,3,1,0.809,1.062,14.13,41.475,70,41,1.7073,1.2971,34.7
R0003774,2025-10-27 17:09:00,North,Economy,10,0,0.501,1.597,5.185,17.798,57,41,1.3902,1.1639,16.41
R0003775,2025-04-22 22:47:00,Airport,Economy,4,0,0.116,1.185,6.802,18.561,35,53,0.6604,1.0,13.23
R0003776,2025-09-04 04:47:00,Central,Economy,12,0,0.154,1.424,3.461,9.891,46,38,1.2105,1.0884,7.48
R0003777,2025-12-27 02:25:00,Airport,Economy,20,0,0.263,1.277,7.384,21.841,74,32,2.3125,1.5512,27.32
R0003778,2025-01-20 17:41:00,North,Economy,23,0,0.11,1.1,6.16,22.033,27,41,0.6585,1.0,14.24
R0003779,2025-02-23 02:28:00,Tech Park,Economy,10,1,0.629,2.06,13.172,47.742,88,42,2.0952,1.46,59.36
R0003780,2025-11-01 23:35:00,Airport,Economy,1,0,1.195,1.112,5.509,19.011,42,40,1.05,1.021,15.12
R0003781,2025-10-06 05:20:00,Tech Park,Premium,5,0,0.302,0.94,6.153,18.447,49,54,0.9074,1.0,24.4
R0003782,2025-12-10 19:17:00,South,Economy,2,0,0.047,1.051,5.358,18.603,43,36,1.1944,1.0817,14.11
R0003783,2025-12-29 23:14:00,North,Economy,18,0,0.233,1.741,7.885,31.899,40,41,0.9756,1.0,23.14
R0003784,2025-01-26 17:51:00,South,Economy,23,0,0.412,1.193,23.189,72.478,39,36,1.0833,1.035,45.89
R0003785,2025-11-21 17:38:00,Central,Economy,13,0,1.124,1.138,1.135,7.417,55,37,1.4865,1.2043,6.15
R0003786,2025-03-14 22:44:00,Tech Park,Comfort,4,0,0.574,0.959,7.566,26.587,50,55,0.9091,1.0,26.77
R0003787,2025-11-09 03:53:00,Tech Park,Economy,0,1,0.573,1.34,14.819,51.72,51,51,1.0,1.0,32.48
R0003788,2025-08-19 09:19:00,Tech Park,Premium,23,1,0.843,1.012,5.853,17.057,53,46,1.1522,1.0639,25.92
R0003789,2025-12-30 22:15:00,Central,Comfort,7,1,1.278,1.435,10.38,31.107,73,46,1.587,1.2465,42.65
R0003790,2025-12-25 07:58:00,South,Economy,2,0,1.931,1.086,14.843,45.355,40,49,0.8163,1.0,31.72
R0003791,2025-04-10 09:14:00,Central,Premium,4,0,0.303,0.951,6.673,20.966,49,46,1.0652,1.0274,23.92
R0003792,2025-07-09 22:07:00,North,Economy,6,1,0.529,1.364,5.425,14.614,47,44,1.0682,1.0286,11.32
R0003793,2025-12-17 15:17:00,Airport,Premium,15,0,0.303,0.841,12.994,37.556,55,51,1.0784,1.0329,39.32
R0003794,2025-10-11 07:07:00,Central,Economy,21,0,0.805,1.969,10.201,33.822,80,54,1.4815,1.2022,32.2
R0003795,2025-07-17 10:38:00,South,Premium,6,0,0.046,1.244,7.506,28.222,40,46,0.8696,1.0,34.78
R0003796,2025-09-18 15:03:00,University,Economy,16,1,2.354,1.464,10.872,38.369,54,57,0.9474,1.0,28.3
R0003797,2025-02-08 19:54:00,Airport,Economy,1,0,0.884,0.7,13.173,34.548,59,44,1.3409,1.1432,27.93
R0003798,2025-09-22 12:14:00,South,Premium,0,0,0.765,0.925,7.545,23.175,34,47,0.7234,1.0,27.84
R0003799,2025-11-12 21:38:00,South,Economy,1,0,0.24,0.929,9.189,28.146,45,50,0.9,1.0,18.18
R0003800,2025-06-09 04:40:00,University,Economy,22,0,0.358,1.376,10.354,35.897,51,37,1.3784,1.1589,28.01
R0003801,2025-02-17 18:01:00,South,Economy,13,0,0.11,0.917,6.025,18.703,34,46,0.7391,1.0,13.67
R0003802,2025-02-06 10:08:00,Airport,Economy,19,0,0.225,1.451,14.93,52.604,79,42,1.881,1.37,44.98
R0003803,2025-03-06 15:16:00,Central,Economy,0,0,1.278,1.264,4.406,12.477,50,51,0.9804,1.0,11.15
R0003804,2025-08-02 04:26:00,South,Economy,0,1,0.066,0.758,7.227,20.688,47,45,1.0444,1.0187,13.21
R0003805,2025-01-01 05:22:00,Central,Economy,20,1,2.74,2.039,11.848,50.249,85,37,2.2973,1.5449,65.9
R0003806,2025-12-31 14:46:00,University,Comfort,2,0,1.492,1.125,4.345,13.787,43,39,1.1026,1.0431,14.13
R0003807,2025-05-18 22:00:00,University,Economy,3,1,0.751,1.619,12.544,45.008,54,38,1.4211,1.1768,39.38
R0003808,2025-06-29 07:16:00,University,Comfort,12,0,0.205,0.872,8.625,23.383,48,42,1.1429,1.06,21.22
R0003809,2025-06-02 00:23:00,Central,Economy,14,1,1.023,1.531,16.1,60.21,61,41,1.4878,1.2049,46.48
R0003810,2025-09-10 11:59:00,Tech Park,Comfort,5,0,0.939,0.964,10.881,33.348,53,39,1.359,1.1508,34.2
R0003811,2025-04-05 13:40:00,Tech Park,Comfort,10,0,0.297,1.651,7.103,23.257,76,31,2.4516,1.6097,35.9
R0003812,2025-11-12 13:31:00,Airport,Premium,16,0,0.867,1.246,8.823,31.332,40,46,0.8696,1.0,37.28
R0003813,2025-10-27 08:58:00,Central,Economy,10,0,0.411,1.649,8.999,30.204,74,49,1.5102,1.2143,23.17
R0003814,2025-10-04 21:58:00,Central,Economy,9,0,0.04,1.572,23.637,83.036,74,37,2.0,1.42,73.66
R0003815,2025-11-18 15:04:00,North,Premium,1,0,0.122,1.177,8.138,28.591,27,42,0.6429,1.0,33.05
R0003816,2025-10-05 16:42:00,University,Comfort,10,0,1.448,1.886,7.2,32.26,78,36,2.1667,1.49,50.25
R0003817,2025-04-18 12:14:00,Tech Park,Economy,19,0,0.341,1.58,6.976,25.664,61,51,1.1961,1.0824,22.02
R0003818,2025-09-04 03:34:00,Central,Economy,15,0,0.254,0.924,8.618,26.046,55,51,1.0784,1.0329,19.02
R0003819,2025-07-09 16:41:00,South,Comfort,21,1,0.626,1.633,4.163,11.351,66,39,1.6923,1.2908,17.24
R0003820,2025-09-07 19:16:00,Central,Economy,3,0,0.019,0.971,6.293,18.593,57,51,1.1176,1.0494,14.68
R0003821,2025-12-10 18:49:00,Central,Economy,0,1,0.562,1.066,4.452,13.087,69,51,1.3529,1.1482,11.22
R0003822,2025-01-28 17:46:00,Airport,Comfort,13,0,0.666,1.134,4.784,15.518,47,51,0.9216,1.0,16.94
R0003823,2025-03-07 21:26:00,South,Economy,4,0,0.998,0.926,12.089,34.652,37,44,0.8409,1.0,23.88
R0003824,2025-12-12 11:34:00,South,Economy,14,0,0.156,0.843,7.881,25.034,30,39,0.7692,1.0,16.17
R0003825,2025-03-21 20:26:00,Tech Park,Economy,21,0,0.29,1.752,5.165,18.55,70,40,1.75,1.315,16.94
R0003826,2025-06-28 04:26:00,University,Economy,8,0,0.651,1.262,7.152,24.879,53,48,1.1042,1.0438,19.47
R0003827,2025-05-18 08:44:00,Central,Economy,13,1,0.176,1.247,6.785,22.347,63,45,1.4,1.168,18.95
R0003828,2025-10-30 15:30:00,Tech Park,Comfort,16,0,0.703,1.026,7.996,23.495,56,44,1.2727,1.1145,25.73
R0003829,2025-03-30 06:01:00,Central,Economy,3,1,0.624,1.413,3.391,10.954,57,40,1.425,1.1785,9.23
R0003830,2025-02-26 10:16:00,North,Comfort,21,0,0.016,1.774,4.262,17.176,57,31,1.8387,1.3523,24.17
R0003831,2025-01-14 10:09:00,North,Comfort,4,0,1.254,1.167,3.516,15.209,39,50,0.78,1.0,15.31
R0003832,2025-04-24 09:40:00,Airport,Comfort,19,0,0.182,1.543,4.736,15.811,59,37,1.5946,1.2497,18.13
R0003833,2025-11-24 23:09:00,Central,Economy,15,1,0.577,1.391,5.22,18.476,64,45,1.4222,1.1773,15.8
R0003834,2025-11-05 22:20:00,Central,Economy,3,0,2.381,1.658,4.397,17.775,69,38,1.8158,1.3426,20.3
R0003835,2025-01-20 05:23:00,Central,Comfort,17,0,0.209,1.763,11.828,43.424,82,34,2.4118,1.5929,63.29
R0003836,2025-12-23 13:07:00,University,Economy,4,0,0.849,1.359,21.37,66.115,53,34,1.5588,1.2347,53.53
R0003837,2025-05-14 06:04:00,Central,Economy,14,0,2.856,1.318,12.232,41.336,70,54,1.2963,1.1244,37.28
R0003838,2025-02-18 23:19:00,North,Economy,23,1,0.966,1.211,5.692,15.712,42,38,1.1053,1.0442,12.62
